latest block #,ONE address,player ID,cards,gems,VIP points
7946937,one1uj6k4ye2x63q2rjyret0hzx6rryqqyxqyhxglh,,3,7200,2190
7946955,one1k3ck0f5dffgmv45ncfnn74xgdv3nwwcralmetv,,10,24000,7300
7946967,one1yjtae493342qqw83trut60nuk5v4rgph783cvc,,25,60000,18250
7947009,one1es9nxq8fram0grypnhyrxlkmdc2fwufmmk0nqd,sahildewan,2,4800,1460
7947054,one17yvwtm3qp09qft89a6mvrsezka9nm8v74fyv78,giao,1,2400,730
7947353,one1kuusxxe70m6a6pr8crhc38hj7d78qn8ufef7m4,Solodrinker,4,9600,2920
7947543,one1n62sppqz56jjhz2ttu5w8dclmuwhzvmm4gs4jw,rrrr2501,1,2400,730
7947823,one18xw2vdknfcdx5752q0xu5eu90wpgpth6wtczha,,1,2400,730
7947862,one1y60x4jsj0emmk9gfp33as0tqsq9vcnntyp0m8l,,2,4800,1460
7947885,one1atdwrxe98t8kx2cy9r42qjvuslps7dqtxtn6aj,,10,24000,7300
7948074,one17fq45j9msgx3avwz5627ku6qm720rs8hd0jp04,,1,2400,730
7948326,one128xvmjj8f7jx6t484x6yxrcaa7906j3hdk2xtn,uPdLBnMKu,1,2400,730
7948446,one128xvmjj8f7jx6t484x6yxrcaa7906j3hdk2xtn,,1,2400,730
7948815,one1ltdxljpe64pwq9nhahw8s5ptzh24k2y2xdg8h4,,8,19200,5840
7949332,one13jvvu4mpas6a3d73ca6xt8jk8ljkswtl7ss5qa,Craftyme60,39,93600,28470
7949362,one1p2gr9f2wln7e9mjsckz8zrelna7pvhae8j2e2v,GLzcfsp94,5,12000,3650
7949446,one1c944gw7nflc32qq05eyq4jxdc7z5594dtr9q3p,,1,2400,730
7949594,one12aclhwzwaypgy9ju4uv3s3jfks3rr392erxppc,,1,2400,730
7949628,one1ptmjw4j74d79dn4vh54zjlc474ss5vv3j6sv96,,1,2400,730
7949789,one1pydguen5pun2na6wt0uplum8mnpwcnfknxlsmt,Nowhere,1,2400,730
7949899,one1qgkqpscscfp7frvq6enexlekj6tz4u6r66phy6,,2,4800,1460
7950039,one13wpxe9lymxt774w7a0v5l66736v24x2h6zf0xh,CEn7Dm2Zs,1,2400,730
7950254,one13jvvu4mpas6a3d73ca6xt8jk8ljkswtl7ss5qa,nuYMJpej3,43,103200,31390
7950272,one10t4c2wgh5pul7vs24hzlel3jmw3n0w2ljdhv30,KPX3AQwwH,48,115200,35040
7950643,one1apj9uj75l88hjvt453xzc30g07eu22lhftz7pn,,4,9600,2920
7950939,one13vg6qy395yplj5gr2cyeww2ezr4pv5s43cg549,,24,57600,17520
7952862,one1ctgh6aadwunw7yhd22xdxnggtkykc9wugpfwuk,,15,36000,10950
7954769,one186jkq75ncad0zawjjfkt9gjnu6gkq59jrkqdt6,8U4pQWdAW,20,48000,14600
7956410,one1s6re2tvzfpsjnypq6ce54zqtxvxepnp22fhpc9,hYqXjPxDu,1,2400,730
7956564,one1vhm4n3ah4zksfwhv9y9dxvh6z9lkjkkj6pxqx0,XjzJXCRuF,6,14400,4380
7956631,one1525kfxwds2mc3qrhjhldeeuljxqaaxjykf4wra,,1,2400,730
7957121,one1dsqz5qn8pv58nnudvnn0ngm6f9dr3d4t8dcvtn,hYqXjPxDu,5,12000,3650
7957246,one10w4qa6gxvfg6gya0cq52kecvyyfn2h6q0panrh,,5,12000,3650
7958934,one1shhxqg956gx43lrrmj8qyrwqrverc40vk7ey0s,4y56vwVWX,6,14400,4380
7961985,one1endm267uee49kjpjyhfwqdj2zfjwhvlm0x24sr,Morpheus20,1,2400,730
7962761,one1fu49nhqxrkrql5pvqvq0rk0vav0p58cc206pvp,,20,48000,14600
7963937,one14l2jyu8384w0xdc3yqegcrts9sayfxe8q3qtka,Dcjezt73,1,2400,730
7964147,one15ndfckgzhtz3cadxhhr52227s5yqw4xu28fcqg,,1,2400,730
7964206,one1zthje4prr4w0v4dxeh22c9fyl74y88qhu29awe,,4,9600,2920
7964811,one1m43p84524lyge8z2zj8p9jlrg4wrz5qe9nazxg,,10,24000,7300
7965291,one1qu6jay4decjqwtjq7qnq60g83hxgclkx5r3s6u,eaEBtnbwm,3,7200,2190
7965448,one15ad34lhszdnz7n8uvnmuzd3w0ay3vy8fdt3343,,1,2400,730
7968649,one1m0wq547m2zg2dm0gjqylxqf2tedrjltssymt0z,62XAKH9AW,2,4800,1460
7968913,one1tzxdxqau5aqmmc66smhgyqscykpfrz6tvr0z6h,Felip,5,12000,3650
7972383,one1tnlzwvdc5yc98nfpvun300f2uqd6l5qgmyz46d,,3,7200,2190
7973108,one10fjfqnsum3v8wn49h3uypcg598p5mqpld4x0an,,11,26400,8030
7975551,one1vhm4n3ah4zksfwhv9y9dxvh6z9lkjkkj6pxqx0,,1,2400,730
7976907,one1wcfwjafl6rezw6f6llwan56jrfapgajtrf39yx,,1,2400,730
7976948,one18y7vwfkdpqvcm042m3vxxfun9hq8tpxa8ce7vh,cvQNrjnrn,2,4800,1460
7976981,one1mw5je4ha8cgtstn378f6g4zqpkcng3rwfpukdv,,1,2400,730
7981228,one1wpngzdpud03u58fkh852f9gkl2yhys2ypmqsr3,Kloonike,4,9600,2920
7984565,one1shhxqg956gx43lrrmj8qyrwqrverc40vk7ey0s,kalipay,2,4800,1460
7985396,one1a0urgyhgc5wajgsd44vf6xfd2lz4q8fmsa2mhd,jTNUQdNBz,5,12000,3650
7986229,one1j99nhavy3rnmya87z6jh5z54f9wcmetn8s4aca,,1,2400,730
7987767,one1hmf0f22z8m8dcjwhf9g9fjzjwk44fj8umjyd7p,QpXUAbS5qf,12,28800,8760
7989247,one1hn86n7rt3vaxy58hm9crrqgxzmu8hxw39u9h32,,11,26400,8030
7990616,one1mreykuqele4cg8sn283c2rfzsz42av0sy30qpp,,10,24000,7300
1610822180060,,,,,
Total,,,411,,
